PRDM9Expression	numPRDM9MotifInPeaks
KIRP_TCGA-4A-A93Y-01A	0	120503
KIRP_TCGA-B1-A47N-01A	0	123689
KIRP_TCGA-B1-A654-01A	0	123822
KIRP_TCGA-B9-A44B-01A	7.43429113650304	125827
KIRP_TCGA-B9-A5W8-01A	0	117416
KIRP_TCGA-B9-A5W9-01A	6.47398817389641	121007
KIRP_TCGA-B9-A8YI-01A	0	119623
KIRP_TCGA-F9-A7Q0-01A	7.09197528347706	116488
KIRP_TCGA-F9-A7VF-01A	0	126295
KIRP_TCGA-F9-A8NY-01A	0	112202
KIRP_TCGA-GL-A9DC-01A	0	122796
KIRP_TCGA-HE-A5NH-01A	7.82420370761333	123953
KIRP_TCGA-HE-A5NI-01A	0	125561
KIRP_TCGA-HE-A5NJ-01A	7.79568821296473	123962
KIRP_TCGA-HE-A5NK-01A	8.07394804410313	125670
KIRP_TCGA-IA-A40U-01A	7.12074186582784	126230
KIRP_TCGA-IA-A40X-01A	7.08375559523768	122651
KIRP_TCGA-KV-A74V-01A	6.88974780121379	123054
KIRP_TCGA-P4-A5E6-01A	0	126488
KIRP_TCGA-P4-A5EA-01A	0	119457
KIRP_TCGA-P4-A5EB-01A	9.08643559887834	116868
KIRP_TCGA-P4-AAVL-01A	0	127491
KIRP_TCGA-Q2-A5QZ-01A	0	124032
KIRP_TCGA-UZ-A9PJ-01A	0	124041
KIRP_TCGA-UZ-A9PK-01A	6.7791362785162	125425
KIRP_TCGA-UZ-A9PL-01A	0	124848
KIRP_TCGA-UZ-A9PM-01A	0	115289
KIRP_TCGA-UZ-A9PP-01A	0	121591
KIRP_TCGA-UZ-A9PQ-01A	0	117309
KIRP_TCGA-UZ-A9PV-01A	0	123894
LGGx_TCGA-DB-A75K-01A	0	104532
LGGx_TCGA-DU-5870-02A	0	101576
LGGx_TCGA-DU-6407-02B	0	103088
LGGx_TCGA-E1-A7YI-01A	0	104377
LGGx_TCGA-F6-A8O3-01A	6.18013270872613	100479
LGGx_TCGA-FG-A4MU-01B	7.73456354849263	103226
LGGx_TCGA-FG-A4MY-01A	0	99818
LGGx_TCGA-P5-A72W-01A	0	102595
LGGx_TCGA-P5-A72X-01A	0	81546
LGGx_TCGA-P5-A735-01A	0	98525
LGGx_TCGA-P5-A77X-01A	6.67542125768146	101782
LGGx_TCGA-W9-A837-01A	0	94035
LIHC_TCGA-BC-A10S-01A	0	102790
LIHC_TCGA-BC-A10T-01A	0	92232
LIHC_TCGA-BC-A10U-01A	7.97825219290017	104396
LIHC_TCGA-BC-A10W-01A	0	101695
LIHC_TCGA-BC-A10X-01A	0	106742
LIHC_TCGA-BC-A3KF-01A	8.44195166557468	103397
LIHC_TCGA-BC-A5W4-01A	11.0573381232985	105277
LIHC_TCGA-BC-A8YO-01A	0	100051
LIHC_TCGA-CC-A123-01A	0	100730
LIHC_TCGA-CC-A7IF-01A	0	101532
LIHC_TCGA-DD-AAC8-01A	10.2703607386747	103236
LIHC_TCGA-DD-AACB-01A	9.27128311507565	107669
LIHC_TCGA-DD-AACI-01A	0	101050
LIHC_TCGA-DD-AACL-01A	9.35978947998942	103790
LIHC_TCGA-G3-AAV0-01A	10.6790295836147	93012
LIHC_TCGA-LG-A9QC-01A	0	99402
LIHC_TCGA-LG-A9QD-01A	8.76804068122694	104035
LUAD_TCGA-44-3918-01A	0	122880
LUAD_TCGA-44-6146-01A	0	115183
LUAD_TCGA-49-AARO-01A	11.7690469285869	113264
LUAD_TCGA-4B-A93V-01A	0	118114
LUAD_TCGA-73-A9RS-01A	0	109730
LUAD_TCGA-86-A4D0-01A	0	112892
LUAD_TCGA-86-A4P7-01A	0	117348
LUAD_TCGA-86-A4P8-01A	0	116002
LUAD_TCGA-91-A4BC-01A	0	121389
LUAD_TCGA-91-A4BD-01A	9.91553371931293	119442
LUAD_TCGA-93-A4JN-01A	0	120243
LUAD_TCGA-93-A4JO-01A	0	116122
LUAD_TCGA-93-A4JQ-01A	11.6735761623432	119364
LUAD_TCGA-L4-A4E6-01A	0	120317
LUAD_TCGA-L9-A8F4-01A	0	118947
LUAD_TCGA-MP-A4SV-01A	7.74874738802102	121493
LUAD_TCGA-MP-A4T4-01A	0	117401
LUAD_TCGA-MP-A4T7-01A	0	117322
LUAD_TCGA-MP-A4TE-01A	0	118585
LUAD_TCGA-MP-A4TF-01A	0	122628
LUAD_TCGA-NJ-A4YG-01A	0	118203
LUSC_TCGA-33-A4WN-01A	9.30603481728042	114585
LUSC_TCGA-37-A5EM-01A	0	112853
LUSC_TCGA-63-A5MR-01A	9.33984539339314	102805
LUSC_TCGA-77-A5G6-01A	0	115082
LUSC_TCGA-85-A4CL-01A	7.89019376255464	112352
LUSC_TCGA-85-A4CN-01A	0	111111
LUSC_TCGA-85-A4JB-01A	7.88365185676712	96066
LUSC_TCGA-85-A4QR-01A	0	109855
LUSC_TCGA-85-A50M-01A	7.79384811277432	104103
LUSC_TCGA-85-A512-01A	7.01823155334126	108312
LUSC_TCGA-98-A53A-01A	0	115615
LUSC_TCGA-98-A53J-01A	0	115667
LUSC_TCGA-J1-A4AH-01A	7.86871804866646	113702
LUSC_TCGA-MF-A522-01A	0	104196
LUSC_TCGA-O2-A52N-01A	9.05566875715158	102490
LUSC_TCGA-XC-AA0X-01A	7.0588287092007	112240
MESO_TCGA-3U-A98E-01A	0	89603
MESO_TCGA-3U-A98I-01A	0	94045
MESO_TCGA-LK-A4NW-01A	0	89742
MESO_TCGA-LK-A4O6-01A	8.73102525955383	77259
MESO_TCGA-MQ-A4KX-01A	0	90954
MESO_TCGA-SH-A9CU-01A	0	93893
PCPG_TCGA-QT-A5XJ-01A	0	98072
PCPG_TCGA-QT-A5XM-01A	0	101790
PCPG_TCGA-QT-A5XN-01A	6.74527804453576	102921
PCPG_TCGA-QT-A69Q-01A	0	101467
PCPG_TCGA-RM-A68W-01A	0	105007
PCPG_TCGA-RT-A6YA-01A	0	99980
PCPG_TCGA-RW-A8AZ-01A	0	102356
PCPG_TCGA-TT-A6YP-01A	0	103837
PCPG_TCGA-WB-A818-01A	6.84748732844144	99276
PRAD_TCGA-EJ-7218-01B	0	109402
PRAD_TCGA-EJ-7318-01B	0	112360
PRAD_TCGA-EJ-A46B-01A	0	112523
PRAD_TCGA-EJ-A46D-01A	0	112532
PRAD_TCGA-EJ-A46E-01A	0	116192
PRAD_TCGA-EJ-A46F-01A	8.4435588032967	108188
PRAD_TCGA-EJ-A46G-01A	0	109407
PRAD_TCGA-EJ-A46H-01A	0	113400
PRAD_TCGA-EJ-A65B-01A	0	108508
PRAD_TCGA-EJ-A65F-01A	0	114604
PRAD_TCGA-EJ-A7NG-01A	0	111954
PRAD_TCGA-EJ-A7NM-01A	0	103371
PRAD_TCGA-EJ-A8FN-01A	0	108263
PRAD_TCGA-EJ-A8FP-01A	7.01680923823845	113854
PRAD_TCGA-KC-A4BV-01A	0	111666
PRAD_TCGA-SU-A7E7-01A	0	109134
PRAD_TCGA-VN-A88K-01A	0	109312
PRAD_TCGA-VP-A875-01A	0	112687
PRAD_TCGA-YL-A8HJ-01A	0	113876
PRAD_TCGA-YL-A8SB-01A	0	112419
PRAD_TCGA-YL-A8SL-01B	0	106771
PRAD_TCGA-YL-A8SP-01B	0	100517
PRAD_TCGA-YL-A9WK-01A	0	108960
PRAD_TCGA-ZG-A9L0-01A	7.05809676204298	109625
PRAD_TCGA-ZG-A9L1-01A	0	108154
PRAD_TCGA-ZG-A9L2-01A	0	106668
SKCM_TCGA-D3-A8GM-06A	7.57872105452334	95367
SKCM_TCGA-D3-A8GP-06A	0	97686
SKCM_TCGA-D9-A1JW-06A	7.70416252468843	95767
SKCM_TCGA-D9-A6EA-06A	6.76507898889011	98053
SKCM_TCGA-D9-A6EC-06A	0	94919
SKCM_TCGA-DA-A95W-06A	0	93383
