ID	numPRDM9MotifInPeaks
KIRC_TCGA-B8-A54F-01A	110126
KIRC_TCGA-B8-A54G-01A	105542
KIRC_TCGA-B8-A54H-01A	105830
KIRC_TCGA-B8-A54J-01A	108919
KIRC_TCGA-B8-A54K-01A	108522
KIRC_TCGA-B8-A8YJ-01A	109151
KIRC_TCGA-CJ-5671-01A	112477
KIRC_TCGA-CJ-5677-01A	113918
KIRC_TCGA-CJ-5679-01A	107455
KIRC_TCGA-DV-A4VX-01A	105843
KIRC_TCGA-GK-A6C7-01A	110350
KIRC_TCGA-MM-A564-01A	107188
KIRP_TCGA-2K-A9WE-01A	123446
KIRP_TCGA-4A-A93X-01A	113539
KIRP_TCGA-4A-A93Y-01A	120503
KIRP_TCGA-B1-A47N-01A	123689
KIRP_TCGA-B1-A654-01A	123822
KIRP_TCGA-B9-A44B-01A	125827
KIRP_TCGA-B9-A5W8-01A	117416
KIRP_TCGA-B9-A5W9-01A	121007
KIRP_TCGA-B9-A8YI-01A	119623
KIRP_TCGA-F9-A7Q0-01A	116488
KIRP_TCGA-F9-A7VF-01A	126295
KIRP_TCGA-F9-A8NY-01A	112202
KIRP_TCGA-GL-A9DC-01A	122796
KIRP_TCGA-HE-A5NH-01A	123953
KIRP_TCGA-HE-A5NI-01A	125561
KIRP_TCGA-HE-A5NJ-01A	123962
KIRP_TCGA-HE-A5NK-01A	125670
KIRP_TCGA-IA-A40U-01A	126230
KIRP_TCGA-IA-A40X-01A	122651
KIRP_TCGA-KV-A74V-01A	123054
KIRP_TCGA-P4-A5E6-01A	126488
KIRP_TCGA-P4-A5EA-01A	119457
KIRP_TCGA-P4-A5EB-01A	116868
KIRP_TCGA-P4-A5ED-01B	122622
KIRP_TCGA-P4-AAVL-01A	127491
KIRP_TCGA-PJ-A8JU-01A	126125
KIRP_TCGA-Q2-A5QZ-01A	124032
KIRP_TCGA-UZ-A9PJ-01A	124041
KIRP_TCGA-UZ-A9PK-01A	125425
KIRP_TCGA-UZ-A9PL-01A	124848
KIRP_TCGA-UZ-A9PM-01A	115289
KIRP_TCGA-UZ-A9PP-01A	121591
KIRP_TCGA-UZ-A9PQ-01A	117309
KIRP_TCGA-UZ-A9PV-01A	123894
LGGx_TCGA-DB-A75K-01A	104532
LGGx_TCGA-DU-5870-02A	101576
LGGx_TCGA-DU-6395-02A	106783
